"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","5,410","","72.2%","3.3%","0.2%","17.7%","0.0%","2.4%","4.1%","11.7%","64.3%","","2.9%","29.4%","32.1%","35.6%","","3,076","32.5%","67.5%","86.5%","26.5%","6.7%","2.4%","6.8%","3.5%","","61.5%","17.4%","12.1%","6.8%","0.8%","1.3%","","14.5%","33.1%","48.6%","3.8%","","2,334","61.4%","53.2%","8.2%","38.6%","23.6%","15.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","137,637","","138,911","145,461","-","124,449","-","250,000+","-","144,583","139,717","","-","145,765","149,955","111,855","","177,561","199,474","165,000","186,349","203,958","72,563","95,288","-","-","","175,208","151,364","213,594","193,375","-","-","","155,313","153,403","184,630","165,982","","83,977","79,141","66,655","123,587","109,306","96,528","122,813"
"ZCTA5 91106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,657","","5,732","759","44","2,498","0","1,079","545","2,585","4,365","","399","5,228","2,968","2,062","","5,290","1,848","3,442","3,753","1,373","1,084","401","453","74","","2,796","1,209","871","312","53","49","","448","1,596","2,783","463","","5,367","2,428","1,785","643","2,939","2,042","897"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,657","","53.8%","7.1%","0.4%","23.4%","0.0%","10.1%","5.1%","24.3%","41.0%","","3.7%","49.1%","27.9%","19.3%","","5,290","34.9%","65.1%","70.9%","26.0%","20.5%","7.6%","8.6%","1.4%","","52.9%","22.9%","16.5%","5.9%","1.0%","0.9%","","8.5%","30.2%","52.6%","8.8%","","5,367","45.2%","33.3%","12.0%","54.8%","38.0%","16.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,782","","93,427","90,568","137,344","88,636","-","32,648","58,708","57,656","98,871","","-","92,203","113,140","52,742","","106,516","102,632","110,208","127,939","137,736","50,638","28,390","117,631","-","","105,648","104,145","108,750","171,818","91,597","-","","23,235","58,026","130,144","158,295","","66,578","63,853","52,122","70,313","73,450","58,269","118,186"
"ZCTA5 91107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,971","","7,518","544","14","3,163","34","993","705","2,884","6,011","","108","4,287","4,775","3,801","","8,328","3,146","5,182","6,471","2,594","1,094","387","763","165","","3,745","2,177","1,671","554","93","88","","886","2,456","3,863","1,123","","4,643","2,512","2,080","432","2,131","1,540","591"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,971","","58.0%","4.2%","0.1%","24.4%","0.3%","7.7%","5.4%","22.2%","46.3%","","0.8%","33.1%","36.8%","29.3%","","8,328","37.8%","62.2%","77.7%","31.1%","13.1%","4.6%","9.2%","2.0%","","45.0%","26.1%","20.1%","6.7%","1.1%","1.1%","","10.6%","29.5%","46.4%","13.5%","","4,643","54.1%","44.8%","9.3%","45.9%","33.2%","12.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","100,866","","108,051","86,875","-","111,513","-","58,125","65,694","60,833","115,156","","-","107,581","120,302","74,226","","128,644","126,250","129,231","145,801","155,870","76,667","78,233","117,188","-","","114,826","127,750","145,871","198,833","121,575","204,342","","61,591","99,643","154,457","200,550","","66,519","62,692","53,397","87,024","67,375","49,318","127,330"
"ZCTA5 91108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,108","","1,609","0","0","2,332","25","41","101","243","1,452","","5","759","1,992","1,352","","3,534","1,446","2,088","2,967","1,275","419","123","148","48","","1,465","751","929","262","45","82","","607","1,136","1,442","349","","574","415","385","30","159","124","35"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,108","","39.2%","0.0%","0.0%","56.8%","0.6%","1.0%","2.5%","5.9%","35.3%","","0.1%","18.5%","48.5%","32.9%","","3,534","40.9%","59.1%","84.0%","36.1%","11.9%","3.5%","4.2%","1.4%","","41.5%","21.3%","26.3%","7.4%","1.3%","2.3%","","17.2%","32.1%","40.8%","9.9%","","574","72.3%","67.1%","5.2%","27.7%","21.6%","6.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","163,654","","216,367","-","-","145,750","-","-","-","163,393","232,500","","-","141,161","209,500","131,850","","183,403","205,238","168,929","204,856","210,281","93,237","38,405","131,648","-","","162,898","154,185","243,259","210,438","108,819","250,000+","","81,010","133,986","250,000+","201,875","","60,758","56,571","55,609","-","90,580","-","-"
"ZCTA5 91201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,238","","6,775","163","0","491","0","385","424","1,459","5,789","","196","2,425","3,231","2,386","","5,411","2,004","3,407","3,810","1,559","910","152","691","293","","2,012","1,313","1,403","459","183","41","","729","1,685","2,150","847","","2,827","1,835","1,452","383","992","772","220"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,238","","82.2%","2.0%","0.0%","6.0%","0.0%","4.7%","5.1%","17.7%","70.3%","","2.4%","29.4%","39.2%","29.0%","","5,411","37.0%","63.0%","70.4%","28.8%","16.8%","2.8%","12.8%","5.4%","","37.2%","24.3%","25.9%","8.5%","3.4%","0.8%","","13.5%","31.1%","39.7%","15.7%","","2,827","64.9%","51.4%","13.5%","35.1%","27.3%","7.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,073","","56,164","60,069","-","114,556","-","70,563","53,333","62,371","54,152","","48,378","87,782","69,120","29,329","","73,782","82,874","69,491","81,375","87,171","60,153","-","73,274","72,679","","49,470","73,242","112,210","83,180","-","178,550","","20,635","47,101","91,328","157,938","","39,515","29,467","21,875","61,319","57,500","52,250","80,714"
"ZCTA5 91202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","9,359","","7,515","229","0","1,060","0","228","327","1,680","6,175","","138","2,802","3,225","3,194","","5,898","1,883","4,015","4,325","1,604","1,068","224","505","55","","2,452","1,419","1,626","324","59","18","","599","1,823","2,681","795","","3,461","2,267","2,112","155","1,194","999","195"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","9,359","","80.3%","2.4%","0.0%","11.3%","0.0%","2.4%","3.5%","18.0%","66.0%","","1.5%","29.9%","34.5%","34.1%","","5,898","31.9%","68.1%","73.3%","27.2%","18.1%","3.8%","8.6%","0.9%","","41.6%","24.1%","27.6%","5.5%","1.0%","0.3%","","10.2%","30.9%","45.5%","13.5%","","3,461","65.5%","61.0%","4.5%","34.5%","28.9%","5.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","81,665","","80,755","97,747","-","103,214","-","62,875","70,494","122,828","68,925","","-","91,037","100,537","58,397","","99,295","104,724","93,136","111,505","131,667","64,894","65,625","80,742","-","","73,500","103,408","101,522","133,229","231,417","-","","29,107","77,031","113,860","133,804","","52,488","53,800","53,109","-","37,857","30,378","113,194"
"ZCTA5 91203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,223","","4,326","177","0","1,086","25","313","296","1,007","3,670","","160","2,638","2,067","1,358","","3,790","1,389","2,401","2,553","1,135","866","229","371","25","","1,542","999","792","326","116","15","","389","1,204","1,677","520","","2,433","1,324","1,082","242","1,109","888","221"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,223","","69.5%","2.8%","0.0%","17.5%","0.4%","5.0%","4.8%","16.2%","59.0%","","2.6%","42.4%","33.2%","21.8%","","3,790","36.6%","63.4%","67.4%","29.9%","22.8%","6.0%","9.8%","0.7%","","40.7%","26.4%","20.9%","8.6%","3.1%","0.4%","","10.3%","31.8%","44.2%","13.7%","","2,433","54.4%","44.5%","9.9%","45.6%","36.5%","9.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,384","","60,236","151,055","-","91,346","-","36,673","43,000","48,631","60,747","","56,786","77,872","61,719","27,717","","68,602","77,109","63,288","70,817","80,341","59,619","-","72,802","86,375","","58,077","68,028","96,324","74,286","-","-","","18,274","44,828","95,211","110,114","","48,163","47,542","41,027","118,250","50,466","31,875","105,764"
"ZCTA5 91204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,743","","4,835","241","32","923","0","504","208","1,758","3,725","","145","2,906","2,393","1,299","","4,157","1,447","2,710","2,952","1,119","823","238","382","90","","1,497","1,159","886","453","87","75","","620","1,223","1,645","669","","2,586","1,421","1,136","285","1,165","726","439"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,743","","71.7%","3.6%","0.5%","13.7%","0.0%","7.5%","3.1%","26.1%","55.2%","","2.2%","43.1%","35.5%","19.3%","","4,157","34.8%","65.2%","71.0%","26.9%","19.8%","5.7%","9.2%","2.2%","","36.0%","27.9%","21.3%","10.9%","2.1%","1.8%","","14.9%","29.4%","39.6%","16.1%","","2,586","54.9%","43.9%","11.0%","45.1%","28.1%","17.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","55,847","","45,074","92,850","108,667","78,819","-","61,469","51,548","52,083","45,942","","84,712","72,448","51,962","21,085","","51,706","49,260","56,364","59,952","51,630","35,868","36,105","47,241","-","","42,448","59,583","48,158","52,116","52,566","72,204","","17,574","45,201","73,170","91,625","","61,375","39,191","24,461","93,250","69,097","43,897","99,946"
"ZCTA5 91205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","14,052","","10,687","385","8","1,760","35","769","408","3,067","8,609","","289","4,981","5,253","3,529","","9,105","3,235","5,870","6,298","2,449","1,980","653","827","133","","3,540","2,293","2,202","796","220","54","","1,441","3,103","3,316","1,245","","4,947","2,780","2,266","514","2,167","1,723","444"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","14,052","","76.1%","2.7%","0.1%","12.5%","0.2%","5.5%","2.9%","21.8%","61.3%","","2.1%","35.4%","37.4%","25.1%","","9,105","35.5%","64.5%","69.2%","26.9%","21.7%","7.2%","9.1%","1.5%","","38.9%","25.2%","24.2%","8.7%","2.4%","0.6%","","15.8%","34.1%","36.4%","13.7%","","4,947","56.2%","45.8%","10.4%","43.8%","34.8%","9.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,160","","40,639","60,852","-","86,447","-","40,995","75,846","49,603","37,321","","51,953","65,596","60,308","19,742","","52,527","49,066","54,798","59,159","53,661","39,570","36,219","51,016","66,125","","39,440","60,841","60,538","59,722","-","88,182","","18,585","40,709","79,610","111,875","","32,817","21,103","12,500","61,607","45,114","36,181","81,591"
"ZCTA5 91206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,050","","9,768","341","0","1,983","14","233","711","1,734","8,482","","352","4,338","4,971","3,389","","8,678","3,259","5,419","6,106","2,409","1,786","684","786","166","","3,695","2,297","1,958","617","111","0","","1,260","2,950","3,575","893","","4,372","2,464","2,151","313","1,908","1,487","421"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,050","","74.9%","2.6%","0.0%","15.2%","0.1%","1.8%","5.4%","13.3%","65.0%","","2.7%","33.2%","38.1%","26.0%","","8,678","37.6%","62.4%","70.4%","27.8%","20.6%","7.9%","9.1%","1.9%","","42.6%","26.5%","22.6%","7.1%","1.3%","0.0%","","14.5%","34.0%","41.2%","10.3%","","4,372","56.4%","49.2%","7.2%","43.6%","34.0%","9.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","74,893","","70,691","105,964","-","92,146","-","54,453","85,292","54,783","71,250","","49,271","90,743","76,359","47,422","","85,530","98,950","81,600","96,616","110,768","78,523","74,038","70,673","66,875","","71,937","85,668","108,966","97,128","-","-","","19,568","71,727","116,431","113,795","","44,655","27,838","22,106","64,539","68,710","56,033","80,324"
